or_crc||or_nom||or_id||or_dpt||or_nat||or_typ||typ_code
5||ASS AGENCE DEPARTEMENTALE DU DEVELOPPEMENT ECONOMIQUE ET TERRITORIAL - CAD22 - COTES D'ARMOR DEVELOPPEMENT||6281||22||Association loi de 1901||Association||1210-00
5||AURAY QUIBERON TERRE ATLANTIQUE||7381||56||Et. pub. local et BA des Collectiv. territoriales et des EPL||Communauté de communes||0403-00
5||CCAS DE BRIEC DE L'ODET||565||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
5||CCAS DE CONCARNEAU||636||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
5||CCAS DE GROIX||323||56||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
5||CCAS DE QUIMPER||651||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
5||CH DE BRETAGNE SUD||162||56||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH DE CANCALE||354||35||Et. sanit. et sociaux et ESMS-BP et BA||Hôpitaux locaux (Budget Principal)||0505-00
5||CH DE CENTRE BRETAGNE PONTIVY||340||56||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH DE DOUARNENEZ||673||29||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH DE GUINGAMP||838||22||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH DE LANNION||833||22||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH DE PLOERMEL||352||56||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CH INTERCOMMUNAL DE CORNOUAILLE||562||29||Et. sanit. et sociaux et ESMS-BP et BA||Centres Hospitaliers Généraux (Budget Principal)||0503-00
5||CIAS DU STEIR||5481||29||Et. pub. local et BA des Collectiv. territoriales et des EPL||Centre communal d'action sanitaire et sociale||0431-10
5||CNE DE BADEN||1940||56||Commune||Commune / BP||0101-00
5||CNE DE BAGUER PICAN||2290||35||Commune||Commune / BP||0101-00
5||CNE DE BETTON||2277||35||Commune||Commune / BP||0101-00
5||CNE DE GRAND CHAMP||1881||56||Commune||Commune / BP||0101-00
